NAME_1,Jumlah_Penduduk
Aceh,5274871
Bali,4317404
Bangka Belitung,1455678
Banten,11904562
Bengkulu,2010670
Gorontalo,1171681
Jakarta Raya,10562088
Jambi,3548228
Jawa Barat,48274162
Jawa Tengah,36516035
Jawa Timur,40665696
Kalimantan Barat,5414390
Kalimantan Selatan,4073584
Kalimantan Tengah,2669969
Kalimantan Timur,3766039
Kalimantan Utara,701814
Kepulauan Riau,2064564
Lampung,9007848
Maluku,1848923
Maluku Utara,1282937
Nusa Tenggara Barat,5320092
Nusa Tenggara Timur,5325566
Papua,4303707
Papua Barat,1134068
Riau,6394087
Sulawesi Barat,1419229
Sulawesi Selatan,9073509
Sulawesi Tengah,2985734
Sulawesi Tenggara,2624875
Sulawesi Utara,2621923
Sumatera Barat,5534472
Sumatera Selatan,8467432
Sumatera Utara,14799361
Yogyakarta,3668719
